latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-15.80907,128.6308,301.7,0.77,0.77,2026-04-30,1550,N,nominal,2.0NRT,289.47,1.41,N
-36.12222,148.51138,317.87,0.34,0.56,2026-04-30,1556,N,nominal,2.0NRT,269.89,1.05,N
-15.89799,128.78615,306.67,0.75,0.77,2026-04-30,1550,N,nominal,2.0NRT,290.38,1.77,N
-36.12771,148.51465,302.84,0.34,0.56,2026-04-30,1556,N,nominal,2.0NRT,270.5,1.24,N
-16.06165,128.99625,307.01,0.72,0.76,2026-04-30,1550,N,nominal,2.0NRT,290.86,3.19,N
-36.14594,148.5508,302.73,0.34,0.56,2026-04-30,1556,N,nominal,2.0NRT,271.88,1.19,N
-17.01179,130.67188,298.78,0.55,0.68,2026-04-30,1550,N,nominal,2.0NRT,288.43,0.74,N
-36.14646,148.5587,297.54,0.34,0.56,2026-04-30,1556,N,nominal,2.0NRT,271.18,1.39,N
-17.03115,130.63991,299.31,0.55,0.68,2026-04-30,1550,N,nominal,2.0NRT,287.79,0.93,N
-34.75879,135.76967,310.66,0.42,0.37,2026-04-30,1556,N,nominal,2.0NRT,283.97,1.36,N
-17.01508,130.67453,299.51,0.54,0.68,2026-04-30,1550,N,nominal,2.0NRT,288.81,0.65,N
-34.76224,135.76875,312.01,0.42,0.37,2026-04-30,1556,N,nominal,2.0NRT,285.48,1.36,N
-17.03313,130.63759,301.02,0.55,0.68,2026-04-30,1550,N,nominal,2.0NRT,288.09,0.86,N
-34.75879,135.76768,311.45,0.42,0.37,2026-04-30,1556,N,nominal,2.0NRT,284.8,1.51,N
-17.3007,130.57314,305.16,0.55,0.68,2026-04-30,1550,N,nominal,2.0NRT,289.13,2.13,N
-34.76223,135.76675,318.41,0.42,0.37,2026-04-30,1556,N,nominal,2.0NRT,286.06,1.51,N
-19.86761,144.21559,296.42,0.41,0.37,2026-04-30,1550,N,nominal,2.0NRT,286.21,0.57,N
-36.41281,148.53325,301.34,0.34,0.56,2026-04-30,1556,N,nominal,2.0NRT,280.17,0.99,N
-19.91566,144.09723,302.15,0.41,0.37,2026-04-30,1550,N,nominal,2.0NRT,287.98,0.72,N
-36.41307,148.53699,298.51,0.34,0.56,2026-04-30,1556,N,nominal,2.0NRT,280,0.99,N
-20.06543,139.91028,307.5,0.42,0.38,2026-04-30,1550,N,nominal,2.0NRT,290.75,0.52,N
-36.49493,146.72276,324.42,0.54,0.51,2026-04-30,1556,N,nominal,2.0NRT,286.59,3.68,N
-17.89135,127.80255,302.87,0.78,0.78,2026-04-30,1552,N,nominal,2.0NRT,287.45,0.97,N
-36.49402,146.71193,301.68,0.54,0.51,2026-04-30,1556,N,nominal,2.0NRT,286.33,1.7,N
-17.98294,127.77067,303.28,0.78,0.78,2026-04-30,1552,N,nominal,2.0NRT,288.68,1.83,N
-36.49446,146.71716,302.25,0.54,0.51,2026-04-30,1556,N,nominal,2.0NRT,285.8,3.68,N
-21.65349,147.98434,315.61,0.43,0.46,2026-04-30,1552,N,nominal,2.0NRT,288.88,1.7,N
