latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-19.50242,144.11847,315.07,1.02,1.01,2026-04-29,0553,A,63,6.1NRT,293.94,11.17,D
-19.15159,143.47049,323.28,1.06,1.03,2026-04-29,0553,A,45,6.1NRT,296.2,15.97,D
-19.08156,143.50974,319.01,1.06,1.03,2026-04-29,0553,A,75,6.1NRT,299.64,13.08,D
-18.34429,142.64821,315.83,1.12,1.06,2026-04-29,0555,A,62,6.1NRT,301.72,8.81,D
-17.58725,144.09526,314.69,1.01,1,2026-04-29,0555,A,67,6.1NRT,299.88,6.49,D
-16.77271,136.90492,310.52,2.66,1.57,2026-04-29,0555,A,38,6.1NRT,293.39,19.46,D
-16.74651,136.82079,312.95,2.7,1.57,2026-04-29,0555,A,35,6.1NRT,297.26,27.4,D
-42.62208,147.72874,300.19,1.22,1.1,2026-04-29,0546,A,31,6.1NRT,287.45,6.96,D
-42.50502,147.13951,304.21,1.29,1.13,2026-04-29,0546,A,58,6.1NRT,288.23,10.33,D
-42.49498,147.13783,354.57,1.29,1.13,2026-04-29,0546,A,98,6.1NRT,291.04,107.03,D
-42.4966,147.12286,334.26,1.29,1.13,2026-04-29,0546,A,89,6.1NRT,288.3,52.29,D
-42.25594,147.27516,304.59,1.26,1.12,2026-04-29,0546,A,59,6.1NRT,286.23,10.28,D
-42.24601,147.27344,305.88,1.26,1.12,2026-04-29,0546,A,62,6.1NRT,285.77,11.69,D
-41.62114,146.87131,310.96,1.29,1.13,2026-04-29,0546,A,71,6.1NRT,287.87,15.99,D
-41.62443,146.84122,313.3,1.3,1.13,2026-04-29,0546,A,73,6.1NRT,287.09,18.9,D
-41.44841,147.05585,300.69,1.26,1.12,2026-04-29,0546,A,33,6.1NRT,287.08,7.01,D
-41.18307,147.67935,448.64,1.18,1.08,2026-04-29,0546,A,94,6.1NRT,309.94,881.84,D
-41.17352,147.67719,307.88,1.18,1.08,2026-04-29,0546,A,44,6.1NRT,286.06,10.48,D
-41.27719,146.11273,310.93,1.39,1.17,2026-04-29,0546,A,61,6.1NRT,286.43,17.89,D
-41.27892,146.09631,304.97,1.4,1.17,2026-04-29,0546,A,24,6.1NRT,286.53,11.36,D
-41.26681,146.11081,313.32,1.39,1.17,2026-04-29,0546,A,74,6.1NRT,286.83,20.91,D
-41.2685,146.09468,305.12,1.4,1.17,2026-04-29,0546,A,26,6.1NRT,286.59,11.6,D
-41.31183,145.67459,360.94,1.47,1.2,2026-04-29,0546,A,100,6.1NRT,289.34,160.71,D
-41.31359,145.65723,328.73,1.47,1.2,2026-04-29,0546,A,86,6.1NRT,286.98,52.29,D
-41.18771,145.57608,310.58,1.48,1.2,2026-04-29,0546,A,70,6.1NRT,279.71,22.56,D
-41.18944,145.55844,336.52,1.49,1.2,2026-04-29,0546,A,90,6.1NRT,280.22,73.26,D
-41.18394,145.56877,336.44,1.48,1.2,2026-04-29,0546,A,90,6.1NRT,280.4,70.76,D
-41.18577,145.5511,330.25,1.49,1.2,2026-04-29,0546,A,82,6.1NRT,279.34,55.74,D
-38.51941,145.81125,306.54,1.33,1.14,2026-04-29,0546,A,64,6.1NRT,290.97,10.52,D
-38.51217,145.80441,307.69,1.33,1.14,2026-04-29,0546,A,66,6.1NRT,290.88,11.85,D
-38.22015,144.15918,301.75,1.63,1.26,2026-04-29,0546,A,49,6.1NRT,289.97,8.94,D
-38.12203,144.00671,303.01,1.66,1.27,2026-04-29,0546,A,54,6.1NRT,290.06,9.34,D
-37.48806,149.15237,311.67,1.01,1,2026-04-29,0546,A,72,6.1NRT,289.34,11.51,D
-37.8713,145.3405,300.99,1.38,1.16,2026-04-29,0546,A,39,6.1NRT,289.86,6.57,D
-38.08168,142.93562,302.38,1.93,1.36,2026-04-29,0546,A,52,6.1NRT,291.06,11.95,D
-37.60496,147.17931,303.53,1.13,1.06,2026-04-29,0546,A,56,6.1NRT,284.08,7.89,D
-37.97365,143.78125,305.73,1.7,1.28,2026-04-29,0546,A,57,6.1NRT,291.31,11.23,D
-37.96225,143.77959,341.53,1.7,1.28,2026-04-29,0546,A,92,6.1NRT,292.97,97.6,D
-37.96409,143.76045,305.96,1.71,1.28,2026-04-29,0546,A,57,6.1NRT,291.56,11.75,D
-37.98263,143.56586,307.4,1.76,1.3,2026-04-29,0546,A,65,6.1NRT,290.56,15.97,D
-37.98965,143.36397,357.04,1.81,1.32,2026-04-29,0546,A,98,6.1NRT,291.94,182.86,D
-37.99153,143.34361,345.47,1.81,1.32,2026-04-29,0546,A,94,6.1NRT,291.28,122.42,D
-37.97793,143.36234,352.24,1.81,1.32,2026-04-29,0546,A,84,6.1NRT,283,157.97,D
-37.97979,143.34195,316.12,1.81,1.32,2026-04-29,0546,A,72,6.1NRT,287.24,31.33,D
-37.99295,142.43509,302.29,2.07,1.4,2026-04-29,0546,A,35,6.1NRT,286.54,12.83,D
-37.34788,147.30701,300.7,1.11,1.05,2026-04-29,0546,A,31,6.1NRT,289.4,4.88,D
-37.77908,143.15623,324.61,1.85,1.33,2026-04-29,0546,A,59,6.1NRT,284.65,52.31,D
-37.7844,143.14983,312.14,1.85,1.33,2026-04-29,0546,A,62,6.1NRT,284.11,28.31,D
-37.49606,145.70914,309.26,1.31,1.13,2026-04-29,0546,A,65,6.1NRT,288.34,13.54,D
-37.48772,145.69226,310.7,1.31,1.14,2026-04-29,0546,A,62,6.1NRT,288.28,14.97,D
-36.93118,149.80363,307.5,1,1,2026-04-29,0546,A,57,6.1NRT,290.67,6.96,D
-36.93281,149.79265,307.29,1,1,2026-04-29,0546,A,56,6.1NRT,290.81,6.9,D
-37.74397,142.93083,317.21,1.91,1.35,2026-04-29,0546,A,77,6.1NRT,277.9,42.32,D
-36.92237,149.80157,331.84,1,1,2026-04-29,0546,A,88,6.1NRT,291.45,30.05,D
-36.924,149.79059,354.38,1,1,2026-04-29,0546,A,98,6.1NRT,293.39,71.62,D
-36.92564,149.7796,315.66,1,1,2026-04-29,0546,A,76,6.1NRT,290.57,13.25,D
-36.97087,147.53151,300.01,1.08,1.04,2026-04-29,0548,A,16,6.1NRT,284.48,5.94,D
-36.91979,147.50258,301.67,1.08,1.04,2026-04-29,0548,A,48,6.1NRT,282.5,7.56,D
-37.20767,143.93806,307.6,1.63,1.26,2026-04-29,0548,A,66,6.1NRT,294,12.01,D
-37.22878,143.60344,306.25,1.71,1.28,2026-04-29,0548,A,63,6.1NRT,294.42,11.48,D
-36.43297,149.9855,303.25,1,1,2026-04-29,0548,A,55,6.1NRT,290.23,5.12,D
-37.21737,143.60176,307.86,1.71,1.28,2026-04-29,0548,A,66,6.1NRT,293.54,14.16,D
-36.71875,147.70389,302.28,1.07,1.03,2026-04-29,0548,A,41,6.1NRT,285.18,6.37,D
-36.71457,147.66521,302.82,1.07,1.03,2026-04-29,0548,A,34,6.1NRT,288.99,6.24,D
-36.76892,146.94762,308.5,1.13,1.06,2026-04-29,0548,A,67,6.1NRT,286.48,10.76,D
-36.77047,146.9352,310.99,1.13,1.06,2026-04-29,0548,A,71,6.1NRT,285.94,12.74,D
-36.76106,146.93372,307.49,1.13,1.06,2026-04-29,0548,A,36,6.1NRT,285.96,9.11,D
-36.33633,149.70193,303.67,1,1,2026-04-29,0548,A,57,6.1NRT,289.23,6.3,D
-36.27652,150.03821,301.33,1.01,1,2026-04-29,0548,A,46,6.1NRT,290.67,4.6,D
-36.42054,148.53984,311.59,1.02,1.01,2026-04-29,0548,A,67,6.1NRT,284.33,12.41,D
-36.94024,143.87694,310.99,1.63,1.26,2026-04-29,0548,A,26,6.1NRT,296.22,12.93,D
-36.92731,143.89319,314.82,1.62,1.25,2026-04-29,0548,A,75,6.1NRT,295.71,19.73,D
-36.92908,143.87518,317.58,1.63,1.26,2026-04-29,0548,A,77,6.1NRT,296.5,24.88,D
